Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bulgaria,2 847,3 270,3 584,3 725,3 734,3 644,3 633,3 478,3 205,2 889,2 495,1 957,1 694,1 473,1 252,1 171,1 016,929,826,757,690,585,532,546
Croatia,812,782,802,735,660,675,639,629,602,617,623,583,552,581,529,523,527,537,528,516,472,393,392,408
Cyprus,2 071,2 217,2 027,1 834,1 562,1 326,1 111,877,782,696,586,470,438,425,419,417,401,388,410,431,432,374,413,413
Czech Republic,941,1 112,1 152,1 180,1 052,902,927,914,922,925,828,765,701,776,736,796,749,772,763,820,763,609,732,787
Denmark,1 066,1 007,922,901,859,887,900,963,898,999,989,1 149,1 233,1 359,1 470,1 602,1 486,1 490,1 423,1 423,1 264,608,1 091,1 393
Estonia,249,287,293,298,271,283,321,240,245,270,220,228,241,218,212,288,191,179,186,184,177,156,178,197
Finland,905,893,819,739,619,570,608,566,672,753,663,639,640,691,656,669,714,737,768,716,690,485,480,517
France,6 877,7 273,7 401,7 223,6 818,6 555,6 640,6 704,7 050,7 421,7 716,8 098,8 232,8 297,8 302,8 743,8 764,8 814,8 802,8 716,8 471,5 643,7 751,8 552
Georgia,347,329,345,377,373,340,343,353,378,407,448,460,481,456,496,541,543,558,597,574,640,583,662,832
Germany,9 800,10 128,9 613,9 302,8 745,8 640,8 829,8 656,8 907,9 679,9 548,9 458,9 347,9 819,10 160,10 193,10 145,10 169,10 042,9 191,9 242,5 364,8 550,9 751
Greece,2 782,2 768,2 599,2 341,2 126,2 035,2 088,1 986,1 981,1 896,1 837,1 874,1 922,2 046,2 170,2 147,2 199,2 318,2 395,2 523,2 489,2 256,2 407,2 539
Hungary,1 166,1 174,1 242,1 200,997,934,831,735,710,680,664,670,655,690,667,720,773,730,716,793,724,653,705,712
Iceland,538,558,891,537,488,434,438,422,402,382,407,369,391,384,390,396,382,402,412,407,411,359,411,367
Ireland,1 166,1 086,1 053,1 055,1 020,976,1 100,1 081,1 018,1 059,1 212,1 167,1 106,1 158,1 156,1 192,1 183,1 217,1 141,1 180,1 228,870,1 295,1 441
Italy,3 286,3 490,3 333,3 287,3 308,3 261,3 224,3 342,3 535,3 945,4 072,4 308,4 284,4 276,4 443,4 863,5 155,5 593,5 789,6 114,6 063,4 894,5 695,6 274
Kosovo,0,0,0,0,0,35,70,56,50,75,88,121,114,106,112,170,268,244,229,159,173,154,157,160
Latvia,309,383,434,447,424,408,382,430,363,320,286,324,308,295,266,276,281,244,236,244,274,232,291,251
Liechtenstein,11,13,12,9,6,9,14,6,13,8,8,5,14,7,8,8,8,8,9,8,9,2,7,7
Lithuania,405,493,628,647,691,635,653,536,495,420,361,338,288,284,287,293,315,333,327,318,320,273,314,323
Luxembourg,69,73,61,73,50,39,51,56,49,87,56,59,68,87,95,97,86,118,102,101,88,62,89,89
North Macedonia,258,281,337,305,349,381,362,345,311,329,278,257,222,237,237,237,236,245,224,227,265,208,218,209
Malta,65,61,51,38,30,27,38,27,24,37,32,19,41,51,52,29,23,25,34,38,52,46,62,82
Moldova,159,183,269,268,266,285,359,365,418,485,441,411,416,379,328,322,281,252,237,205,214,157,147,151
Monaco,17,18,15,13,8,9,24,21,28,12,23,22,43,21,28,18,23,22,17,17,20,26,19,14
Netherlands,1 751,1 856,1 791,1 672,1 505,1 474,1 567,1 587,1 680,1 870,1 830,1 833,1 975,1 948,2 074,2 257,2 445,2 551,2 701,2 681,2 727,1 767,2 172,2 751
Norway,2 329,2 098,2 323,1 568,1 471,1 414,1 297,1 191,1 264,1 349,1 467,1 822,2 016,2 097,2 304,2 498,2 391,2 293,2 105,1 988,1 886,1 265,1 633,1 926
Poland,2 194,2 432,2 606,2 744,2 913,2 861,3 020,2 810,2 731,2 772,2 264,1 852,1 838,1 581,1 520,1 493,1 460,1 489,1 477,1 526,1 513,1 328,1 458,1 585
Portugal,918,884,946,881,880,852,845,854,902,974,1 015,981,970,949,877,915,919,929,937,973,934,791,1 030,1 045
Romania,2 716,2 976,3 325,3 407,3 320,3 217,3 225,3 134,2 902,2 612,2 204,1 883,1 607,1 460,1 317,1 220,1 105,1 173,1 071,1 016,1 000,852,872,876
Russia,7 025,6 858,6 643,6 238,5 532,5 073,4 801,4 751,4 906,4 908,4 827,4 692,4 805,4 898,5 138,5 562,5 444,5 412,5 518,5 292,5 293,4 805,4 802,4 913
San Marino,3,4,2,4,2,3,3,2,0,2,2,2,3,3,1,1,3,2,4,3,4,2,3,4
